==1875== NVPROF is profiling process 1875, command: ./Release/ssai-2dstencil
==1875== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1875== Profiling application: ./Release/ssai-2dstencil
==1875== Profiling result:
==1875== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla P100-SXM2-16GB (0)"
    Kernel: void stencil2d_121pt::j2d121pt<double, int=128, int=8>(double const *, stencil2d_121pt::j2d121pt<double, int=128, int=8>*, int, int)
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   32.000000   32.000000   32.000000
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    5.989276    5.989276    5.989276
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gld_transactions                                              Global Load Transactions   220004354   220004354   220004354
          1                          gst_transactions                                             Global Store Transactions    18300928    18300928    18300928
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions    51360443    51360443    51360443
          1                     l2_write_transactions                                                 L2 Write Transactions    18420885    18420885    18420885
          1                    dram_read_transactions                                       Device Memory Read Transactions    16923347    16923347    16923347
          1                   dram_write_transactions                                      Device Memory Write Transactions    16877548    16877548    16877548
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      17.99%      17.99%      17.99%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  342.21GB/s  342.21GB/s  342.21GB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  104.59GB/s  104.59GB/s  104.59GB/s
          1                            gld_throughput                                                Global Load Throughput  384.95GB/s  384.95GB/s  384.95GB/s
          1                            gst_throughput                                               Global Store Throughput  114.09GB/s  114.09GB/s  114.09GB/s
          1                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      48.98%      48.98%      48.98%
          1                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)      65.26%      65.26%      65.26%
          1                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      32.84%      32.84%      32.84%
          1                      dram_read_throughput                                         Device Memory Read Throughput  105.51GB/s  105.51GB/s  105.51GB/s
          1                     dram_write_throughput                                        Device Memory Write Throughput  105.22GB/s  105.22GB/s  105.22GB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  342.89GB/s  342.89GB/s  342.89GB/s
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  318.02GB/s  318.02GB/s  318.02GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  114.09GB/s  114.09GB/s  114.09GB/s
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  320.20GB/s  320.20GB/s  320.20GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  114.84GB/s  114.84GB/s  114.84GB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  32.686KB/s  32.686KB/s  32.685KB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      88.90%      88.90%      88.90%
          1                            gst_efficiency                                        Global Memory Store Efficiency      91.67%      91.67%      91.67%
          1                    tex_cache_transactions                                            Unified Cache Transactions    55001088    55001088    55001088
          1                             flop_count_dp                           Floating Point Operations(Double Precision)  2.3663e+10  2.3663e+10  2.3663e+10
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)  1.1831e+10  1.1831e+10  1.1831e+10
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                                 Instructions Executed   536670669   536670669   536670669
          1                               inst_issued                                                   Instructions Issued   536779910   536779910   536779910
          1                          dram_utilization                                             Device Memory Utilization     Mid (4)     Mid (4)     Mid (4)
          1                        sysmem_utilization                                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       8.62%       8.62%       8.62%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)       7.53%       7.53%       7.53%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)       0.67%       0.67%       0.67%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       0.02%       0.02%       0.02%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                           Issue Stall Reasons (Other)      63.04%      63.04%      63.04%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.07%       0.07%       0.07%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)      10.90%      10.90%      10.90%
          1                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                                inst_fp_32                                               FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                               FP Instructions(Double)  1.1831e+10  1.1831e+10  1.1831e+10
          1                              inst_integer                                                  Integer Instructions  2170201824  2170201824  2170201824
          1                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          1                              inst_control                                             Control-Flow Instructions    12332704    12332704    12332704
          1                        inst_compute_ld_st                                               Load/Store Instructions   287113216   287113216   287113216
          1                                 inst_misc                                                     Misc Instructions   551756480   551756480   551756480
          1           inst_inter_thread_communication                                             Inter-Thread Instructions  1955594240  1955594240  1955594240
          1                               issue_slots                                                           Issue Slots   479473735   479473735   479473735
          1                                 cf_issued                                      Issued Control-Flow Instructions     4968448     4968448     4968448
          1                               cf_executed                                    Executed Control-Flow Instructions     4968448     4968448     4968448
          1                               ldst_issued                                        Issued Load/Store Instructions   108065792   108065792   108065792
          1                             ldst_executed                                      Executed Load/Store Instructions    72195072    72195072    72195072
          1                       atomic_transactions                                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)    51011397    51011397    51011397
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       9.14%       9.14%       9.14%
